STN_NO,CrowdLevel
NS1,l
NS10,l
NS11,l
NS12,l
NS13,l
NS14,l
NS15,l
NS16,l
NS17,l
NS18,m
NS19,l
NS2,l
NS20,l
NS21,l
NS22,l
NS23,l
NS24,l
NS25,l
NS26,l
NS27,l
NS28,h
NS3,l
NS4,h
NS5,h
NS7,l
NS8,l
NS9,l
CC1,l
CC10,l
CC11,h
CC12,l
CC13,l
CC14,l
CC15,l
CC16,l
CC17,l
CC19,l
CC2,l
CC20,l
CC21,l
CC22,l
CC23,l
CC24,h
CC25,l
CC26,l
CC27,l
CC28,l
CC29,m
CC3,l
CC4,l
CC5,l
CC6,l
CC7,l
CC8,l
CC9,l
CE1,l
CE2,l
CG1,l
CG2,h
DT1,h
DT10,l
DT11,l
DT12,l
DT13,l
DT14,l
DT15,l
DT16,l
DT17,l
DT18,l
DT19,l
DT2,l
DT20,l
DT21,l
DT22,l
DT23,h
DT24,l
DT25,l
DT26,l
DT27,l
DT28,l
DT29,l
DT3,l
DT30,l
DT31,l
DT32,l
DT33,l
DT34,h
DT35,l
DT4,l
DT5,l
DT6,l
DT7,l
DT8,h
DT9,l
EW1,l
EW10,l
EW11,m
EW12,l
EW13,h
EW14,l
EW15,l
EW16,l
EW17,m
EW18,l
EW19,l
EW2,l
EW20,l
EW21,l
EW22,l
EW23,l
EW24,m
EW25,l
EW26,l
EW27,l
EW28,l
EW29,l
EW3,l
EW30,l
EW31,l
EW32,l
EW33,l
EW4,l
EW5,l
EW6,l
EW7,l
EW8,l
EW9,l
NE1,l
NE10,l
NE11,l
NE12,l
NE13,l
NE14,l
NE15,l
NE16,l
NE17,l
NE18,l
NE3,l
NE4,l
NE5,l
NE6,l
NE7,l
NE8,l
NE9,l
TE1,l
TE11,l
TE12,l
TE13,l
TE14,l
TE15,l
TE16,l
TE17,l
TE18,l
TE19,l
TE2,l
TE20,l
TE22,l
TE23,l
TE24,l
TE25,l
TE26,l
TE27,l
TE28,l
TE29,l
TE3,l
TE4,l
TE5,l
TE6,l
TE7,l
TE8,l
TE9,l
BP1,l
BP10,l
BP11,l
BP12,l
BP13,l
BP2,l
BP3,l
BP4,l
BP5,l
BP6,l
BP7,l
BP8,l
BP9,l
SE1,l
SE2,l
SE3,l
SE4,l
SE5,l
STC,l
SW1,l
SW2,l
SW3,l
SW4,l
SW5,l
SW6,l
SW7,l
SW8,l
PE1,l
PE2,l
PE3,l
PE4,l
PE5,l
PE6,l
PE7,l
PTC,l
PW1,l
PW2,l
PW3,l
PW4,l
PW5,l
PW6,l
PW7,l
