Longitude,Latitude
103.7819312,1.4266168
103.8757729,1.4011583
103.8072852,1.271561
103.8584076,1.3805586
103.7355577,1.3443985
103.86222,1.33
103.87129,1.37
103.69976,1.35
103.87175,1.32
103.86719,1.35
103.85265,1.35
103.69032,1.34
103.8994,1.39
103.74011,1.34
103.96062,1.34
103.77135,1.39
103.85536,1.34
103.75093,1.36
103.73247,1.35
103.77546,1.43
103.8872,1.39
103.93255,1.33
103.85145,1.34
103.91755,1.4
103.81499,1.46
103.79521,1.45
103.94781,1.37
103.77892,1.44
103.95278,1.36
103.91056,1.42
103.72508,1.35
103.93989,1.33
103.80566,1.3
103.90175,1.38
103.7702,1.39
103.87051,1.37
103.9476,1.37
103.89067,1.32
103.81368,1.45
103.90228,1.36
103.77139,1.38
103.93607,1.36
103.82389,1.45
103.70146,1.34
103.91272,1.39
103.93903,1.34
103.81052,1.29
103.88851,1.31
103.79229,1.44
103.95069,1.35
103.93463,1.35
103.88839,1.36
103.94243,1.37
103.84645,1.33
103.84313,1.38
103.83695,1.44
103.85155,1.33
103.83768,1.37
103.71607,1.35
103.84141,1.3
103.85451,1.33
103.85922,1.34
103.85551,1.37
103.88784,1.38
103.88345,1.33
103.94006,1.38
103.82572,1.25
103.74759,1.4
103.89471,1.4
103.92718,1.33
103.94665,1.37
103.95788,1.37
103.89692,1.39
103.80538,1.44
103.81737,1.45
103.7929,1.43
103.77876,1.44
103.74276,1.39
103.70525,1.34
103.84331,1.31
103.80733,1.32
103.84564,1.43
103.83832,1.37
103.90888,1.33
103.74924,1.39
103.76302,1.43
103.8587,1.32
103.88595,1.39
103.84545,1.36
103.90969,1.4
103.79267,1.43
103.8735,1.39
103.95384,1.36
103.74095,1.32
103.82787,1.29
103.83018,1.43
103.86121,1.32
103.82745,1.29
103.8641,1.31
103.84718,1.3
103.95677,1.36
103.82743,1.28
103.79501,1.44
103.79421,1.44
103.94074,1.35
103.85558,1.37
103.76887,1.36
103.90493,1.33
103.96246,1.35
103.85239,1.34
103.79506,1.45
103.7929,1.43
103.95398,1.36
103.83341,1.42
103.77906,1.44
103.89282,1.37
103.7618,1.38
103.75375,1.38
103.86585,1.32
103.74953,1.39
103.90355,1.33
103.83329,1.42
103.8711,1.34
103.78182,1.44
103.88713,1.38
103.81499,1.46
103.79503,1.45
103.93914,1.38
103.75756,1.39
103.94214,1.38
103.85439,1.32
103.76707,1.38
103.73801,1.32
103.79462,1.43
103.90478,1.33
103.87291,1.31
103.81633,1.45
103.88978,1.4
103.77643,1.44
103.87651,1.31
103.88627,1.31
103.81032,1.27
103.90991,1.39
103.77351,1.45
103.88272,1.34
103.92215,1.33
103.98898,1.36
103.73643,1.38
103.82825,1.44
103.8406,1.36
103.77407,1.43
103.76353,1.39
103.82728,1.43
103.87095,1.33
103.68751,1.34
103.74877,1.4
103.86015,1.31
103.70425,1.34
103.9133,1.33
103.85222,1.33
103.93838,1.35
103.96147,1.36
